ID	LAT	LNG	BANCO	RED	DOM_ORIG	DOM_GEO	TERMINALES	WEB	ACTUALIZAC	DOM_NORMA	BARRIO	COMUNA	CODIGO_POSTAL	CODIGO_POSTAL_ARGENTINO
1	-34.6202199251	-58.4110478525	BANCO GALICIA	BANELCO	24 DE NOVIEMBRE 791	791 24 DE NOVIEMBRE	1	HTTP://WWW.BANELCO.COM/	MAR-15	24 DE NOVIEMBRE 791	BALVANERA	COMUNA 3	1224	C1224AAE
2	-34.6061137952	-58.3711082913	BANCO SANTANDER RIO	BANELCO	25 DE MAYO 140	140 25 DE MAYO	4	HTTP://WWW.BANELCO.COM/	MAR-15	25 DE MAYO 140	SAN NICOLAS	COMUNA 1	1002	C1002ABD
3	-34.6042720449	-58.3707919223	HSBC ARGENTINA	BANELCO	25 DE MAYO 299	299 25 DE MAYO	2	HTTP://WWW.BANELCO.COM/	MAR-15	25 DE MAYO 299	SAN NICOLAS	COMUNA 1	1002	C1002ABE
4	-34.6027176728	-58.4116171891	BANCO SUPERVIELLE	BANELCO	AGUERO 616	616 AGUERO	1	HTTP://WWW.BANELCO.COM/	MAR-15	AGUERO 616	BALVANERA	COMUNA 3	1171	C1171ABJ
5	-34.6026221497	-58.411593298	HSBC ARGENTINA	BANELCO	AGUERO 628	628 AGUERO	1	HTTP://WWW.BANELCO.COM/	MAR-15	AGUERO 628	BALVANERA	COMUNA 3	1171	C1171ABJ
6	-34.6263656226	-58.4502658616	CITIBANK	BANELCO	ALBERDI 1555	1555 ALBERDI, JUAN BAUTISTA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	ALBERDI, JUAN BAUTISTA AV. 1555	CABALLITO	COMUNA 6	1406	C1406GRE
7	-34.6141434089	-58.3659513574	BANCO SANTANDER RIO	BANELCO	ALICIA M. DE JUSTO 1370	1370 MOREAU DE JUSTO, ALICIA AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	MOREAU DE JUSTO, ALICIA AV. 1370	PUERTO MADERO	COMUNA 1	1107	C1107AFB
8	-34.6003376718	-58.3672859089	BANCO SANTANDER RIO	BANELCO	ALICIA M. DE JUSTO 164	164 MOREAU DE JUSTO, ALICIA AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	MOREAU DE JUSTO, ALICIA AV. 164	PUERTO MADERO	COMUNA 1	1107	C1107AAD
9	-34.6073015914	-58.3664899765	BBVA-BANCO FRANCES	BANELCO	ALICIA M.DE JUSTO 840/76	840 MOREAU DE JUSTO, ALICIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	MOREAU DE JUSTO, ALICIA AV. 840	PUERTO MADERO	COMUNA 1	1107	C1107AAR
10	-34.6112175373	-58.3853003136	BANCO SANTANDER RIO	BANELCO	ALSINA 1338	1338 ALSINA, ADOLFO	2	HTTP://WWW.BANELCO.COM/	MAR-15	ALSINA, ADOLFO 1338	MONSERRAT	COMUNA 1	1088	C1088AAJ
